Country,Ticker
Australia,EWA.US
Belgium,EZU.US
Canada,EWC.US
Denmark,EZU.US
Finland,EZU.US
France,EZU.US
Germany,EZU.US
Hong Kong,EWH.US
Ireland,EZU.US
Israel,EIS.US
Italy,EZU.US
Japan,EWJ.US
Netherlands,EZU.US
Norway,EZU.US
Portugal,EZU.US
Singapore,EWS.US
Spain,EZU.US
Sweden,EZU.US
Switzerland,EZU.US
UK,EWU.US
USA,PBUS.US
